1,11,17
2,11,11
3,9,11
4,11,8
5,9,16
6,8,15
7,13,21
8,27,33
9,36,36
10,12,20
11,10,13
12,8,12
15,10,11
16,8,19
17,16,19
18,23,27
19,9,11
20,7,9
21,6,9
23,15,20
